url,ordinary_status,baidu_status,canonical,meta_robots,x_robots_tag,robots_allowed,h1,description,body_chars,depth,ua_identical,evidence
https://mianshiwen.cn/features/ai-interview-assistant,200,200,https://mianshiwen.cn/features/ai-interview-assistant,,,True,AI 面试助手，不只回答一道题,了解面试稳 AI 面试助手如何结合简历、岗位 JD 和知识材料，覆盖面试准备、实时问题整理、截图回答与面试复盘。,727,2,True,after/10-ordinary.html
https://mianshiwen.cn/features/realtime-interview,200,200,https://mianshiwen.cn/features/realtime-interview,,,True,实时面试辅助，从听清问题开始,面试稳实时面试辅助说明：区分麦克风与电脑输出音频，持续整理对话，确认面试官问题，并结合本场资料生成回答建议。,642,2,True,after/11-ordinary.html
https://mianshiwen.cn/features/screenshot-answer,200,200,https://mianshiwen.cn/features/screenshot-answer,,,True,截图回答，只使用当前屏幕题目信息,面试稳截图回答功能说明：由用户主动截取当前屏幕，识别题目后生成结构化回答建议，适用于代码题、图表题和系统设计题。,595,2,True,after/12-ordinary.html
https://mianshiwen.cn/features/interview-review,200,200,https://mianshiwen.cn/features/interview-review,,,True,面试复盘，既看问题，也看自己的回答,面试稳面试复盘说明：保留面试官问题和候选人回答，整理回答建议、资料来源和后续行动，并支持下载复盘文档。,615,2,True,after/13-ordinary.html
https://mianshiwen.cn/guides/audio-troubleshooting,200,200,https://mianshiwen.cn/guides/audio-troubleshooting,,,True,面试收音慢、断续或丢字，先按来源排查,面试稳收音排查指南：检查麦克风、电脑输出音频、macOS 或 Windows 系统权限、会议软件音量、网络与转写状态。,966,2,True,after/14-ordinary.html
https://mianshiwen.cn/guides/interview-preparation,200,200,https://mianshiwen.cn/guides/interview-preparation,,,True,准备一场面试，先把资料变成可核对的事实,面试稳面试准备指南：整理真实简历、目标岗位 JD 和必要知识材料，创建面试并完成电脑伴随程序与收音检查。,934,2,True,after/15-ordinary.html
https://mianshiwen.cn/guides/macos-permissions,200,200,https://mianshiwen.cn/guides/macos-permissions,,,True,macOS 已授权但不能收音，按权限类型重新检查,面试稳 macOS 权限指南：分别检查麦克风、屏幕与系统音频授权，重置旧授权，并验证电脑伴随程序是否真正收到声音。,763,2,True,after/16-ordinary.html
https://mianshiwen.cn/guides/feishu-audio-setup,200,200,https://mianshiwen.cn/guides/feishu-audio-setup,,,True,飞书面试声音断续，先分清是哪一路音频,飞书视频面试收音设置指南：检查麦克风、扬声器、电脑输出音量、系统权限与面试稳伴随程序状态，减少断续和漏字。,764,2,True,after/17-ordinary.html
https://mianshiwen.cn/guides/tencent-meeting-audio-setup,200,200,https://mianshiwen.cn/guides/tencent-meeting-audio-setup,,,True,腾讯会议听得见，不等于助手已经收到电脑声音,腾讯会议视频面试收音设置指南：检查麦克风、扬声器、系统输出与面试稳伴随程序输入，定位听得见但无法转写的问题。,751,2,True,after/18-ordinary.html
https://mianshiwen.cn/guides/star-interview-answer,200,200,https://mianshiwen.cn/guides/star-interview-answer,,,True,STAR 不是套话，而是让真实经历更容易被理解,STAR 面试回答指南：用情境、任务、行动和结果整理真实项目经历，避免背景过长、职责不清、行动空泛和结果无法核对。,798,2,True,after/19-ordinary.html
https://mianshiwen.cn/guides/self-introduction,200,200,https://mianshiwen.cn/guides/self-introduction,,,True,面试自我介绍怎么说？用60秒建立岗位匹配,面试自我介绍怎么说？用岗位匹配、关键经历和求职动机组成60至90秒回答，附可填写模板、应届生与社招调整方法及常见错误检查表。,2024,2,True,after/20-ordinary.html
https://mianshiwen.cn/guides/project-experience,200,200,https://mianshiwen.cn/guides/project-experience,,,True,面试项目经历怎么介绍？讲清问题、取舍和你的行动,面试项目经历怎么介绍？用目标、约束、方案、个人行动、结果和反思六段结构讲清项目，附技术追问清单、填空模板与常见错误。,2098,2,True,after/21-ordinary.html
https://mianshiwen.cn/guides/technical-interview,200,200,https://mianshiwen.cn/guides/technical-interview,,,True,技术面试怎么准备？从JD反推能力与证据,技术面试怎么准备？从JD建立能力矩阵，按概念、原理、取舍和案例四层复习，并用澄清、方案、实现、测试与复盘完成现场解题。,2051,2,True,after/22-ordinary.html
https://mianshiwen.cn/guides/common-interview-questions,200,200,https://mianshiwen.cn/guides/common-interview-questions,,,True,面试常见问题怎么准备？先看考察意图，再找真实证据,面试常见问题如何准备？按背景动机、岗位匹配、行为经历、技术能力和反问五类理解考察意图，用真实证据库组织回答而非背标准答案。,2160,2,True,after/23-ordinary.html
https://mianshiwen.cn/interview-questions/llm,200,200,https://mianshiwen.cn/interview-questions/llm,,,True,大模型面试题怎么准备？从原理讲到工程边界,大模型面试题准备指南：从Transformer、自注意力、训练与推理、上下文窗口、幻觉到评测与工程取舍，附常见追问、回答框架和可靠来源。,2185,2,True,after/24-ordinary.html
https://mianshiwen.cn/interview-questions/rag,200,200,https://mianshiwen.cn/interview-questions/rag,,,True,RAG面试题怎么回答？先把检索与生成拆开,RAG面试题准备指南：讲清文档解析、切分、Embedding、召回、混合检索、重排、生成引用、评测与线上故障定位，附回答框架和原始论文。,2292,2,True,after/25-ordinary.html
https://mianshiwen.cn/interview-questions/ai-agent,200,200,https://mianshiwen.cn/interview-questions/ai-agent,,,True,AI Agent面试题怎么准备？重点是可控地完成任务,AI Agent面试题准备指南：区分工作流与Agent，讲清任务规划、工具调用、状态与记忆、失败恢复、权限安全、可观测性和端到端评测。,2540,2,True,after/26-ordinary.html
https://mianshiwen.cn/interview-questions/java-backend,200,200,https://mianshiwen.cn/interview-questions/java-backend,,,True,Java后端面试题怎么准备？从语言原理到系统证据,Java后端面试题准备指南：从Java语言、并发与JVM，到数据库、缓存、消息队列、接口设计、系统稳定性与项目表达，附追问框架和官方来源。,2203,2,True,after/27-ordinary.html
https://mianshiwen.cn/interview-questions/frontend,200,200,https://mianshiwen.cn/interview-questions/frontend,,,True,前端面试题怎么准备？围绕浏览器与用户体验,前端面试题准备指南：从HTML、CSS、JavaScript事件循环，到网络、渲染、框架状态、性能、可访问性、测试与项目表达，附追问框架和权威来源。,2437,2,True,after/28-ordinary.html
https://mianshiwen.cn/interview-questions/algorithms,200,200,https://mianshiwen.cn/interview-questions/algorithms,,,True,算法面试题怎么做？让思路、证明和代码对齐,算法面试题准备指南：从澄清需求、选择数据结构、建立不变量，到证明正确性、分析复杂度、编写代码和测试边界，附题型地图与表达框架。,2144,2,True,after/29-ordinary.html
https://mianshiwen.cn/terms,200,200,https://mianshiwen.cn/terms,,,True,用户协议,阅读面试稳AI助手用户协议，了解服务范围、账号安全、AI建议使用规则、积分会员支付、用户内容权利及客服联系方式。,914,1,True,after/30-ordinary.html
https://mianshiwen.cn/privacy,200,200,https://mianshiwen.cn/privacy,,,True,隐私政策,阅读面试稳AI助手隐私政策，了解账号、简历、JD、转录与截图等信息的处理目的、保存与安全措施、第三方处理及你的控制权利。,1420,1,True,after/31-ordinary.html
